IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.184.202,4,4,0.00,172.00,11.19,SJC
172.64.229.208,4,4,0.00,85.55,10.16,NRT
104.17.161.30,4,4,0.00,170.93,9.16,SJC
104.18.70.218,4,4,0.00,173.12,9.14,SJC
104.16.28.211,4,4,0.00,173.30,5.50,SJC
104.19.150.132,4,4,0.00,172.82,5.30,SJC
104.16.196.161,4,4,0.00,172.49,4.35,SJC
104.16.191.165,4,4,0.00,172.92,1.11,SJC
104.17.96.231,4,4,0.00,172.99,0.85,SJC
104.16.201.208,4,4,0.00,173.18,0.00,N/A
104.16.3.245,4,4,0.00,173.33,0.00,N/A
104.18.181.212,4,4,0.00,173.41,0.00,N/A
104.19.13.83,4,4,0.00,173.48,0.00,N/A
104.18.45.15,4,4,0.00,173.51,0.00,N/A
104.19.176.228,4,4,0.00,173.67,0.00,N/A
162.159.197.194,4,4,0.00,173.69,0.00,N/A
104.18.252.183,4,4,0.00,173.76,0.00,N/A
104.19.63.161,4,4,0.00,173.81,0.00,N/A
104.19.21.7,4,4,0.00,173.84,0.00,N/A
104.17.59.65,4,4,0.00,173.87,0.00,N/A
104.18.52.56,4,4,0.00,173.92,0.00,N/A
104.18.132.246,4,4,0.00,173.94,0.00,N/A
104.17.40.230,4,4,0.00,174.02,0.00,N/A
104.17.242.13,4,4,0.00,174.07,0.00,N/A
104.18.157.138,4,4,0.00,174.13,0.00,N/A
104.16.142.198,4,4,0.00,174.18,0.00,N/A
104.19.16.34,4,4,0.00,174.18,0.00,N/A
172.65.249.94,4,4,0.00,174.24,0.00,N/A
162.159.13.83,4,4,0.00,174.29,0.00,N/A
162.159.19.81,4,4,0.00,174.33,0.00,N/A
104.17.194.84,4,4,0.00,174.35,0.00,N/A
104.17.73.191,4,4,0.00,174.38,0.00,N/A
104.16.20.154,4,4,0.00,174.38,0.00,N/A
104.16.242.101,4,4,0.00,174.42,0.00,N/A
104.18.96.100,4,4,0.00,174.44,0.00,N/A
104.17.153.246,4,4,0.00,174.44,0.00,N/A
104.31.16.170,4,4,0.00,174.45,0.00,N/A
162.159.16.32,4,4,0.00,174.48,0.00,N/A
162.159.21.117,4,4,0.00,174.48,0.00,N/A
104.16.8.98,4,4,0.00,174.49,0.00,N/A
104.17.217.213,4,4,0.00,174.60,0.00,N/A
104.18.159.152,4,4,0.00,174.77,0.00,N/A
104.18.72.160,4,4,0.00,174.79,0.00,N/A
104.16.240.189,4,4,0.00,174.80,0.00,N/A
172.65.250.168,4,4,0.00,174.85,0.00,N/A
